raw_image,processed_image,aid_mask,hpm_mask,gs_mask,id,label,label1,label2,label3,imgsize,fold
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p3-pl1-sample4-sperm1.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p3-pl1-sample4-sperm1.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p3-pl1-sample4-sperm1_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p3-pl1-sample4-sperm1_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p3-pl1-sample4-sperm1_mask.png,p3-pl1-sample04/Sperm_01,4,1,4,4,"(35, 35)",F1
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p3-pl1-sample15-sperm4.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p3-pl1-sample15-sperm4.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p3-pl1-sample15-sperm4_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p3-pl1-sample15-sperm4_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p3-pl1-sample15-sperm4_mask.png,p3-pl1-sample15/Sperm_04,4,4,4,4,"(35, 35)",F2
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p1-pl2-sample19-sperm10.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p1-pl2-sample19-sperm10.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p1-pl2-sample19-sperm10_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p1-pl2-sample19-sperm10_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p1-pl2-sample19-sperm10_mask.png,p1-pl2-sample19/Sperm_10,1,1,4,1,"(35, 35)",F3
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p1-pl2-sample4-sperm7.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p1-pl2-sample4-sperm7.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p1-pl2-sample4-sperm7_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p1-pl2-sample4-sperm7_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p1-pl2-sample4-sperm7_mask.png,p1-pl2-sample04/Sperm_07,0,0,0,0,"(35, 35)",F4
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p1-pl3-sample24-sperm14.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p1-pl3-sample24-sperm14.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p1-pl3-sample24-sperm14_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p1-pl3-sample24-sperm14_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p1-pl3-sample24-sperm14_mask.png,p1-pl3-sample24/Sperm_14,4,4,4,4,"(34, 34)",F5
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p1-pl2-sample28-sperm3.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p1-pl2-sample28-sperm3.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p1-pl2-sample28-sperm3_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p1-pl2-sample28-sperm3_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p1-pl2-sample28-sperm3_mask.png,p1-pl2-sample28/Sperm_03,4,4,4,4,"(35, 35)",F1
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p1-pl3-sample21-sperm11.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p1-pl3-sample21-sperm11.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p1-pl3-sample21-sperm11_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p1-pl3-sample21-sperm11_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p1-pl3-sample21-sperm11_mask.png,p1-pl3-sample21/Sperm_11,4,4,4,4,"(35, 35)",F2
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p4-pl1-sample5-sperm3.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p4-pl1-sample5-sperm3.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p4-pl1-sample5-sperm3_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p4-pl1-sample5-sperm3_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p4-pl1-sample5-sperm3_mask.png,p4-pl1-sample05/Sperm_03,2,2,2,4,"(35, 35)",F3
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p5-pl1-sample12-sperm15.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p5-pl1-sample12-sperm15.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p5-pl1-sample12-sperm15_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p5-pl1-sample12-sperm15_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p5-pl1-sample12-sperm15_mask.png,p5-pl1-sample12/Sperm_15,4,4,0,4,"(34, 34)",F4
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p4-pl1-sample6-sperm3.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p4-pl1-sample6-sperm3.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p4-pl1-sample6-sperm3_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p4-pl1-sample6-sperm3_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p4-pl1-sample6-sperm3_mask.png,p4-pl1-sample06/Sperm_03,4,4,4,4,"(35, 35)",F5
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p5-pl1-sample18-sperm1.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p5-pl1-sample18-sperm1.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p5-pl1-sample18-sperm1_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p5-pl1-sample18-sperm1_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p5-pl1-sample18-sperm1_mask.png,p5-pl1-sample18/Sperm_01,3,3,3,4,"(34, 34)",F1
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p5-pl1-sample11-sperm5.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p5-pl1-sample11-sperm5.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p5-pl1-sample11-sperm5_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p5-pl1-sample11-sperm5_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p5-pl1-sample11-sperm5_mask.png,p5-pl1-sample11/Sperm_05,1,1,1,4,"(34, 34)",F2
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p1-pl2-sample10-sperm7.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p1-pl2-sample10-sperm7.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p1-pl2-sample10-sperm7_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p1-pl2-sample10-sperm7_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p1-pl2-sample10-sperm7_mask.png,p1-pl2-sample10/Sperm_07,2,2,2,4,"(35, 35)",F3
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p4-pl1-sample5-sperm4.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p4-pl1-sample5-sperm4.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p4-pl1-sample5-sperm4_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p4-pl1-sample5-sperm4_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p4-pl1-sample5-sperm4_mask.png,p4-pl1-sample05/Sperm_04,4,4,4,4,"(35, 35)",F4
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p3-pl1-sample13-sperm1.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p3-pl1-sample13-sperm1.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p3-pl1-sample13-sperm1_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p3-pl1-sample13-sperm1_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p3-pl1-sample13-sperm1_mask.png,p3-pl1-sample13/Sperm_01,4,4,4,4,"(35, 35)",F5
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p5-pl1-sample2-sperm10.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p5-pl1-sample2-sperm10.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p5-pl1-sample2-sperm10_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p5-pl1-sample2-sperm10_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p5-pl1-sample2-sperm10_mask.png,p5-pl1-sample02/Sperm_10,4,1,4,4,"(34, 34)",F1
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p1-pl3-sample25-sperm1.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p1-pl3-sample25-sperm1.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p1-pl3-sample25-sperm1_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p1-pl3-sample25-sperm1_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p1-pl3-sample25-sperm1_mask.png,p1-pl3-sample25/Sperm_01,4,4,4,4,"(35, 35)",F2
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p4-pl1-sample2-sperm8.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p4-pl1-sample2-sperm8.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p4-pl1-sample2-sperm8_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p4-pl1-sample2-sperm8_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p4-pl1-sample2-sperm8_mask.png,p4-pl1-sample02/Sperm_08,2,2,2,4,"(35, 35)",F3
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p4-pl1-sample12-sperm3.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p4-pl1-sample12-sperm3.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p4-pl1-sample12-sperm3_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p4-pl1-sample12-sperm3_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p4-pl1-sample12-sperm3_mask.png,p4-pl1-sample12/Sperm_03,4,2,4,4,"(35, 35)",F4
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p1-pl2-sample29-sperm5.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p1-pl2-sample29-sperm5.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p1-pl2-sample29-sperm5_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p1-pl2-sample29-sperm5_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p1-pl2-sample29-sperm5_mask.png,p1-pl2-sample29/Sperm_05,1,1,1,4,"(35, 35)",F5
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p4-pl2-sample5-sperm1.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p4-pl2-sample5-sperm1.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p4-pl2-sample5-sperm1_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p4-pl2-sample5-sperm1_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p4-pl2-sample5-sperm1_mask.png,p4-pl2-sample05/Sperm_01,4,4,4,4,"(35, 35)",F1
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p1-pl2-sample21-sperm6.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p1-pl2-sample21-sperm6.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p1-pl2-sample21-sperm6_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p1-pl2-sample21-sperm6_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p1-pl2-sample21-sperm6_mask.png,p1-pl2-sample21/Sperm_06,1,1,1,1,"(35, 35)",F2
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p1-pl2-sample7-sperm3.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p1-pl2-sample7-sperm3.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p1-pl2-sample7-sperm3_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p1-pl2-sample7-sperm3_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p1-pl2-sample7-sperm3_mask.png,p1-pl2-sample07/Sperm_03,1,1,1,1,"(35, 35)",F3
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p1-pl3-sample16-sperm8.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p1-pl3-sample16-sperm8.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p1-pl3-sample16-sperm8_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p1-pl3-sample16-sperm8_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p1-pl3-sample16-sperm8_mask.png,p1-pl3-sample16/Sperm_08,4,0,4,4,"(34, 34)",F4
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p1-pl2-sample12-sperm1.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p1-pl2-sample12-sperm1.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p1-pl2-sample12-sperm1_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p1-pl2-sample12-sperm1_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p1-pl2-sample12-sperm1_mask.png,p1-pl2-sample12/Sperm_01,4,4,2,4,"(34, 34)",F5
/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/raw_images/ch00_p1-pl3-sample23-sperm18.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/processed_images/ch00_p1-pl3-sample23-sperm18.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/aid_masks/ch00_p1-pl3-sample23-sperm18_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/hpm_masks/ch00_p1-pl3-sample23-sperm18_mask.tif,/afs/crc.nd.edu/user/n/nsapkota/BIBM2023/data/SCIAN/gs_masks/ch00_p1-pl3-sample23-sperm18_mask.png,p1-pl3-sample23/Sperm_18,4,4,4,4,"(33, 33)",F1
